module	symbol	disposition	purpose	production_consumers	test_consumers
workbook/history/workbookHistoryBrowsing.ts	HistoryBrowsingState	KEEP named boundary	Pure History browsing state transitions for initial, continuation, and refresh reads	workbook/inspector/workbookRecordHistoryModel.ts	none
workbook/history/workbookHistoryBrowsing.ts	initialHistoryBrowsing	KEEP named boundary	Pure History browsing state transitions for initial, continuation, and refresh reads	workbook/inspector/useWorkbookRecordHistoryController.ts	testing/workbookHistoryTestSupport.ts; workbook/history/workbookHistoryBrowsing.test.ts; workbook/inspector/workbookRecordHistoryModel.test.ts
workbook/history/workbookHistoryBrowsing.ts	beginHistoryRead	KEEP named boundary	Pure History browsing state transitions for initial, continuation, and refresh reads	workbook/inspector/useWorkbookRecordHistoryController.ts	testing/workbookHistoryTestSupport.ts; workbook/history/workbookHistoryBrowsing.characterization.test.tsx; workbook/history/workbookHistoryBrowsing.test.ts; workbook/inspector/workbookRecordHistoryModel.test.ts
workbook/history/workbookHistoryBrowsing.ts	rejectHistoryRead	KEEP named boundary	Pure History browsing state transitions for initial, continuation, and refresh reads	workbook/inspector/useWorkbookRecordHistoryController.ts	workbook/history/workbookHistoryBrowsing.characterization.test.tsx; workbook/history/workbookHistoryBrowsing.test.ts; workbook/inspector/workbookRecordHistoryModel.test.ts
workbook/history/workbookHistoryBrowsing.ts	acceptHistoryPage	KEEP named boundary	Pure History browsing state transitions for initial, continuation, and refresh reads	workbook/inspector/useWorkbookRecordHistoryController.ts	testing/workbookHistoryTestSupport.ts; workbook/history/workbookHistoryBrowsing.test.ts; workbook/inspector/workbookRecordHistoryModel.test.ts
workbook/history/workbookHistoryBrowsing.ts	observeHistoryRecord	KEEP named boundary	Pure History browsing state transitions for initial, continuation, and refresh reads	workbook/inspector/workbookRecordHistoryModel.ts	none
workbook/history/workbookHistoryItem.ts	RecordHistoryRollbackAction	KEEP named boundary	Normalizes History items and builds stable rollback targets and pending action identities	workbook/inspector/WorkbookInspectorRecordHistory.tsx; workbook/inspector/WorkbookRecordHistoryPresentation.tsx; workbook/inspector/useWorkbookRecordHistoryController.ts; workbook/inspector/useWorkbookRecordHistoryFocus.ts; workbook/inspector/workbookHistoryPresentationModel.ts; workbook/timeline/components/TimelineHistoryPanel.tsx	none
workbook/history/workbookHistoryItem.ts	RecordHistoryRollbackTarget	KEEP named boundary	Normalizes History items and builds stable rollback targets and pending action identities	workbook/history/workbookHistoryOperation.ts	workbook/inspector/WorkbookInspectorRecordHistory.test.tsx
workbook/history/workbookHistoryItem.ts	WorkbookRecordHistoryPendingAction	KEEP named boundary	Normalizes History items and builds stable rollback targets and pending action identities	workbook/history/HistoryActionLookup.ts; workbook/history/workbookHistoryOperation.ts; workbook/inspector/WorkbookRecordHistoryPresentation.tsx; workbook/inspector/useWorkbookRecordHistoryController.ts; workbook/inspector/workbookRecordHistoryModel.ts	workbook/history/HistoryActionLookup.test.ts; workbook/history/WorkbookRecordHistoryOwner.test.ts
workbook/history/workbookHistoryItem.ts	normalizeRecordHistoryData	KEEP named boundary	Normalizes History items and builds stable rollback targets and pending action identities	workbook/adapters/createWorkbookRecordHistoryAdapter.ts; workbook/history/workbookHistoryBrowsing.ts	none
workbook/history/workbookHistoryItem.ts	buildRecordRollbackTargetFromHistoryAction	KEEP named boundary	Normalizes History items and builds stable rollback targets and pending action identities	workbook/history/HistoryActionLookup.ts; workbook/history/WorkbookRecordHistoryOwner.ts; workbook/inspector/useWorkbookRecordHistoryController.ts	workbook/WorkbookShell.history.test.tsx; workbook/inspector/workbookRecordHistoryModel.test.ts
workbook/history/workbookHistoryItem.ts	historyTargetEqual	KEEP named boundary	Normalizes History items and builds stable rollback targets and pending action identities	workbook/adapters/createWorkbookRecordHistoryAdapter.ts; workbook/history/HistoryActionLookup.ts; workbook/history/WorkbookRecordHistoryOwner.ts	none
workbook/history/workbookHistoryItem.ts	historyItemContentEqual	KEEP named boundary	Normalizes History items and builds stable rollback targets and pending action identities	workbook/history/HistoryPageLookup.ts; workbook/history/workbookHistoryBrowsing.ts	none
workbook/history/workbookHistoryOperation.ts	HistoryAuthority	KEEP named boundary	History authority, intents, captured attempts, receipts, semantic ports, and bindings	workbook/history/WorkbookRecordHistoryOwner.ts	workbook/history/WorkbookRecordHistoryOwner.test.ts
workbook/history/workbookHistoryOperation.ts	HistoryIntent	KEEP named boundary	History authority, intents, captured attempts, receipts, semantic ports, and bindings	workbook/history/WorkbookRecordHistoryOwner.ts; workbook/inspector/workbookRecordHistoryOperation.ts	none
workbook/history/workbookHistoryOperation.ts	HistoryAttempt	KEEP named boundary	History authority, intents, captured attempts, receipts, semantic ports, and bindings	workbook/adapters/createWorkbookRecordHistoryAdapter.ts; workbook/history/WorkbookRecordHistoryOwner.ts	workbook/adapters/createWorkbookRecordHistoryAdapter.test.ts; workbook/history/HistoryActionLookup.test.ts; workbook/history/WorkbookHistoryRecovery.test.tsx; workbook/timeline/adapters/createTimelineActionAdapters.test.ts
workbook/history/workbookHistoryOperation.ts	HistoryReceipt	KEEP named boundary	History authority, intents, captured attempts, receipts, semantic ports, and bindings	workbook/adapters/createWorkbookRecordHistoryAdapter.ts; workbook/history/WorkbookRecordHistoryOwner.ts; workbook/inspector/workbookRecordHistoryOwnerEffects.ts	workbook/history/WorkbookHistoryRecovery.test.tsx; workbook/history/WorkbookRecordHistoryOwner.test.ts; workbook/inspector/WorkbookInspectorRecordHistory.test.tsx
workbook/history/workbookHistoryOperation.ts	WorkbookRecordHistoryPort	KEEP named boundary	History authority, intents, captured attempts, receipts, semantic ports, and bindings	workbook/adapters/createWorkbookRecordHistoryAdapter.ts; workbook/history/WorkbookRecordHistoryOwner.ts; workbook/mutations/workbookMutationCommandPorts.ts	workbook/history/WorkbookBatchHistoryReview.test.tsx; workbook/history/WorkbookHistoryRecovery.test.tsx; workbook/history/WorkbookRecordHistoryOwner.test.ts; workbook/inspector/WorkbookInspectorRecordHistory.test.tsx
workbook/history/workbookHistoryOperation.ts	HistoryBinding	KEEP named boundary	History authority, intents, captured attempts, receipts, semantic ports, and bindings	workbook/history/WorkbookRecordHistoryOwner.ts; workbook/inspector/useWorkbookRecordHistoryController.ts	workbook/history/WorkbookRecordHistoryOwner.test.ts
workbook/history/workbookHistoryOperation.ts	HistoryOperation	KEEP named boundary	History authority, intents, captured attempts, receipts, semantic ports, and bindings	workbook/history/WorkbookHistoryRecovery.tsx; workbook/history/WorkbookRecordHistoryOwner.ts; workbook/history/historyOperationPresentation.ts	none
workbook/history/workbookHistoryOperation.ts	historyActionPermitted	KEEP named boundary	History authority, intents, captured attempts, receipts, semantic ports, and bindings	workbook/history/WorkbookRecordHistoryOwner.ts	workbook/history/WorkbookRecordHistoryOwner.test.ts
workbook/history/workbookHistoryOperation.ts	historyOperationLabel	KEEP named boundary	History authority, intents, captured attempts, receipts, semantic ports, and bindings	workbook/history/WorkbookHistoryRecovery.tsx; workbook/inspector/WorkbookRecordHistoryPresentation.tsx; workbook/inspector/workbookRecordHistoryOperation.ts	none
workbook/history/workbookHistoryPage.ts	HistoryPage	KEEP named boundary	History page requests, provenance, scope equality, and paging validation	workbook/history/HistoryPageLookup.ts; workbook/history/WorkbookRecordHistoryOwner.ts; workbook/history/workbookHistoryBrowsing.ts; workbook/history/workbookHistoryOperation.ts; workbook/inspector/workbookRecordHistoryModel.ts	testing/workbookHistoryTestSupport.ts; workbook/history/HistoryActionLookup.test.ts; workbook/history/WorkbookBatchHistoryReview.test.tsx; workbook/history/workbookHistoryBrowsing.test.ts; workbook/inspector/workbookRecordHistoryModel.test.ts
workbook/history/workbookHistoryPage.ts	HistoryPageRequest	KEEP named boundary	History page requests, provenance, scope equality, and paging validation	workbook/history/HistoryPageLookup.ts; workbook/history/WorkbookRecordHistoryOwner.ts; workbook/history/workbookHistoryBrowsing.ts; workbook/history/workbookHistoryOperation.ts	workbook/history/HistoryActionLookup.test.ts
workbook/history/workbookHistoryPage.ts	HistoryReadScope	KEEP named boundary	History page requests, provenance, scope equality, and paging validation	workbook/history/HistoryPageLookup.ts; workbook/history/WorkbookRecordHistoryOwner.ts; workbook/history/workbookHistoryBrowsing.ts; workbook/history/workbookHistoryReview.ts	none
workbook/history/workbookHistoryPage.ts	HistoryPageProvenance	KEEP named boundary	History page requests, provenance, scope equality, and paging validation	workbook/history/HistoryPageLookup.ts; workbook/history/workbookHistoryBrowsing.ts; workbook/history/workbookHistoryOperation.ts	workbook/history/HistoryActionLookup.test.ts
workbook/history/workbookHistoryPage.ts	sameHistoryReadScope	KEEP named boundary	History page requests, provenance, scope equality, and paging validation	workbook/history/HistoryPageLookup.ts; workbook/inspector/useWorkbookRecordHistoryController.ts	none
workbook/history/workbookHistoryPage.ts	validHistoryPaging	KEEP named boundary	History page requests, provenance, scope equality, and paging validation	workbook/adapters/createWorkbookRecordHistoryAdapter.ts; workbook/history/HistoryPageLookup.ts; workbook/history/workbookHistoryBrowsing.ts	none
workbook/history/workbookHistoryReview.ts	HistoryReviewLocator	KEEP named boundary	Minimal authorized read locator and three-page review policy, distinct from pending actions	workbook/components/WorkbookBatchRecovery.tsx; workbook/history/WorkbookHistoryReview.tsx; workbook/inspector/useWorkbookRecordHistoryController.ts	none
workbook/history/workbookHistoryReview.ts	historyReviewAuthorized	KEEP named boundary	Minimal authorized read locator and three-page review policy, distinct from pending actions	workbook/components/WorkbookBatchRecovery.tsx; workbook/inspector/useWorkbookRecordHistoryController.ts	none
workbook/history/workbookHistoryReview.ts	historyReviewPageLimit	KEEP named boundary	Minimal authorized read locator and three-page review policy, distinct from pending actions	workbook/inspector/useWorkbookRecordHistoryController.ts	none
workbook/inspector/InspectorCreateRelatedWorkflow.tsx	InspectorCreateRelatedWorkflow	KEEP named boundary	Inspector related-record authoring presentation over declared feature commands	workbook/features/assessments/AssessmentWorkbookInspector.tsx; workbook/features/entities/EntityWorkbookInspector.tsx; workbook/features/generic/GenericWorkbookInspector.tsx; workbook/timeline/components/TimelineWorkbookInspectorSections.tsx	none
workbook/inspector/WorkbookExplicitPatchRecovery.tsx	WorkbookExplicitPatchRecovery	KEEP named boundary	Explicit patch recovery after inspector detachment	workbook/components/EntityWorkbookSurface.tsx; workbook/components/GenericWorkbookSurface.tsx; workbook/features/entities/useEntityWorkbookInspectorComposition.tsx; workbook/features/generic/GenericWorkbookInspectorPresentation.tsx; workbook/timeline/components/TimelineInspectorDetails.tsx	none
workbook/inspector/WorkbookInspectorContextualActions.tsx	WorkbookInspectorContextualActions	KEEP named boundary	Renders admitted contextual inspector actions from canonical feature declarations	workbook/inspector/WorkbookInspectorDeclaredPanelList.tsx	workbook/features/coordination/decisionSupersession.characterization.test.tsx; workbook/inspector/presentation/WorkbookInspectorPresentation.test.tsx
workbook/inspector/WorkbookInspectorDeclaredPanelList.tsx	WorkbookInspectorDeclaredPanelList	KEEP named boundary	Renders declared inspector panels in their owner-defined order	workbook/features/assessments/AssessmentWorkbookInspector.tsx; workbook/features/entities/EntityWorkbookInspector.tsx; workbook/features/generic/GenericWorkbookInspector.tsx; workbook/timeline/components/TimelineWorkbookInspector.tsx	workbook/inspector/presentation/WorkbookInspectorPresentation.test.tsx
workbook/inspector/WorkbookInspectorDetails.tsx	WorkbookInspectorDetails	KEEP named boundary	Saved fields plus editable and read-only Details facades	workbook/features/entities/useEntityWorkbookInspectorComposition.tsx; workbook/features/generic/GenericWorkbookInspectorPresentation.tsx; workbook/timeline/components/TimelineInspectorDetails.tsx	none
workbook/inspector/WorkbookInspectorDraftFeedback.tsx	WorkbookInspectorDraftFeedback	KEEP named boundary	Local Resume/Discard and changed saved-value review	workbook/features/entities/useEntityWorkbookInspectorComposition.tsx; workbook/features/generic/GenericWorkbookInspectorPresentation.tsx; workbook/timeline/components/TimelineInspectorDetails.tsx	none
workbook/inspector/WorkbookInspectorDraftStore.ts	InspectorEditIdentity	KEEP named boundary	Account/incident-scoped raw drafts, explicit attachment, dependency review and revision-fenced retirement	workbook/inspector/useWorkbookInspectorEditDraft.ts; workbook/inspector/workbookInspectorFieldFeedback.ts	none
workbook/inspector/WorkbookInspectorDraftStore.ts	inspectorEditKey	KEEP named boundary	Account/incident-scoped raw drafts, explicit attachment, dependency review and revision-fenced retirement	workbook/inspector/useWorkbookInspectorEditDraft.ts	none
workbook/inspector/WorkbookInspectorDraftStore.ts	WorkbookInspectorDraftStore	KEEP named boundary	Account/incident-scoped raw drafts, explicit attachment, dependency review and revision-fenced retirement	workbook/inspector/useWorkbookInspectorEditDraft.ts; workbook/runtime/WorkbookMutationRuntime.ts; workbook/timeline/components/TimelineInspectorDetails.tsx	workbook/components/WorkbookReferenceControl.test.tsx; workbook/inspector/WorkbookInspectorDraftStore.test.ts; workbook/inspector/useWorkbookInspectorEditDraft.test.tsx; workbook/inspector/workbookInspectorFieldFeedback.test.ts; workbook/timeline/components/TimelineInspectorDetails.test.tsx
workbook/inspector/WorkbookInspectorEditControl.tsx	WorkbookInspectorEditControl	KEEP named boundary	Accessible ordinary value control with retained reference identity and explicit clear intent	workbook/features/entities/useEntityWorkbookInspectorComposition.tsx; workbook/features/generic/GenericWorkbookInspectorPresentation.tsx; workbook/timeline/components/TimelineInspectorDetails.tsx	workbook/components/WorkbookReferenceControl.test.tsx; workbook/inspector/useWorkbookInspectorEditDraft.test.tsx
workbook/inspector/WorkbookInspectorRecordHistory.tsx	WorkbookInspectorRecordHistory	KEEP named boundary	Record History inspector composition and browsing controls	workbook/features/assessments/AssessmentWorkbookInspector.tsx; workbook/features/entities/EntityWorkbookInspector.tsx; workbook/features/generic/GenericWorkbookInspector.tsx	workbook/history/WorkbookHistoryRecovery.test.tsx; workbook/inspector/WorkbookInspectorRecordHistory.test.tsx
workbook/inspector/WorkbookInspectorRecordHistory.tsx	HistoryBrowsingControls	KEEP named boundary	Record History inspector composition and browsing controls	workbook/timeline/components/TimelineHistoryPanel.tsx; workbook/timeline/components/TimelineWorkbookInspectorSections.tsx	none
workbook/inspector/WorkbookInspectorRecordHistory.tsx	WorkbookRecordHistoryPanel	KEEP named boundary	Record History inspector composition and browsing controls	workbook/features/entities/WorkbookEntityMergeRecovery.tsx; workbook/history/WorkbookHistoryRecovery.tsx; workbook/history/WorkbookHistoryReview.tsx; workbook/timeline/components/TimelineHistoryPanel.tsx	none
workbook/inspector/WorkbookInspectorSavedDetails.tsx	WorkbookInspectorSavedDetails	KEEP named boundary	Saved-value rendering independent of editing ownership	workbook/features/assessments/useAssessmentWorkbookInspectorComposition.tsx; workbook/inspector/WorkbookInspectorDetails.tsx	workbook/inspector/presentation/WorkbookInspectorPresentation.test.tsx
workbook/inspector/WorkbookRecordHistoryPresentation.tsx	WorkbookRecordHistoryLoadedPresentation	KEEP named boundary	Loaded record History presentation with action and pending-state bindings	workbook/inspector/WorkbookInspectorRecordHistory.tsx	none
workbook/inspector/canonicalInspectorAdmission.ts	admitCanonicalInspectorFeature	KEEP named boundary	Admits exact canonical inspector features and derives stable feature identity	workbook/features/coordination/CoordinationWorkflowBindings.tsx; workbook/inspector/inspectorCapabilityResolver.ts; workbook/timeline/actions/timelineMentionAuthority.ts	workbook/inspector/inspectorCapabilityResolver.test.ts
workbook/inspector/canonicalInspectorAdmission.ts	inspectorFeatureIdentity	KEEP named boundary	Admits exact canonical inspector features and derives stable feature identity	workbook/inspector/inspectorCapabilityResolver.ts	workbook/inspector/inspectorCapabilityResolver.test.ts
workbook/inspector/inspectorCapabilityResolver.ts	InspectorRecordHistoryAction	KEEP named boundary	Resolves canonical inspector capabilities and supported record History actions	workbook/features/entities/WorkbookEntityMergeRecovery.tsx; workbook/history/WorkbookHistoryRecovery.tsx; workbook/history/WorkbookHistoryReview.tsx; workbook/inspector/WorkbookInspectorRecordHistory.tsx; workbook/inspector/WorkbookRecordHistoryPresentation.tsx	none
workbook/inspector/inspectorCapabilityResolver.ts	InspectorContextualCapability	KEEP named boundary	Resolves canonical inspector capabilities and supported record History actions	workbook/features/assessments/AssessmentWorkbookInspector.tsx; workbook/features/entities/EntityWorkbookInspector.tsx; workbook/features/generic/GenericWorkbookInspector.tsx; workbook/inspector/WorkbookInspectorContextualActions.tsx; workbook/inspector/WorkbookInspectorDeclaredPanelList.tsx; workbook/inspector/presentation/workbookInspectorPresentationModel.ts; workbook/timeline/components/TimelineWorkbookInspector.tsx; workbook/timeline/hooks/useTimelineInspectorFeatureController.ts	workbook/timeline/useTimelineInspectorFeatureController.test.tsx
workbook/inspector/inspectorCapabilityResolver.ts	inspectorContextualCapabilities	KEEP named boundary	Resolves canonical inspector capabilities and supported record History actions	workbook/inspector/WorkbookInspectorDeclaredPanelList.tsx	workbook/features/coordination/decisionSupersession.characterization.test.tsx; workbook/inspector/inspectorCapabilityResolver.test.ts; workbook/inspector/presentation/WorkbookInspectorPresentation.test.tsx; workbook/timeline/timelineCaptureActions.characterization.test.ts; workbook/timeline/useTimelineInspectorFeatureController.test.tsx
workbook/inspector/inspectorCapabilityResolver.ts	inspectorRecordHistoryActions	KEEP named boundary	Resolves canonical inspector capabilities and supported record History actions	workbook/features/assessments/useAssessmentWorkbookInspectorComposition.tsx; workbook/features/entities/useEntityWorkbookInspectorComposition.tsx; workbook/features/generic/useGenericWorkbookInspectorComposition.tsx; workbook/timeline/components/TimelineHistoryPanel.tsx	workbook/inspector/inspectorCapabilityResolver.test.ts
workbook/inspector/inspectorRelatedRecordModel.ts	InspectorRelatedRecordWorkflowState	KEEP named boundary	Related-record form seeds and pure inspector workflow state transitions	workbook/features/assessments/AssessmentWorkbookInspector.tsx; workbook/features/coordination/useContextualCreateAttachment.ts; workbook/features/coordination/useCoordinationCreateAttachment.ts; workbook/features/entities/EntityWorkbookInspector.tsx; workbook/features/evidence/useTimelineRelatedEvidenceAttachment.ts; workbook/features/generic/GenericWorkbookInspector.tsx; workbook/features/notes/useNoteCreateAttachment.ts; workbook/inspector/InspectorCreateRelatedWorkflow.tsx; workbook/timeline/components/TimelineWorkbookInspectorSections.tsx	none
workbook/inspector/inspectorRelatedRecordModel.ts	InspectorRelatedRecordWorkflowAction	KEEP named boundary	Related-record form seeds and pure inspector workflow state transitions	workbook/inspector/useInspectorCreateRelatedWorkflow.ts	none
workbook/inspector/inspectorRelatedRecordModel.ts	inspectorRelatedRecordWorkflowReducer	KEEP named boundary	Related-record form seeds and pure inspector workflow state transitions	workbook/inspector/useInspectorCreateRelatedWorkflow.ts	workbook/inspector/inspectorRelatedRecordModel.test.ts
workbook/inspector/inspectorRelatedRecordModel.ts	buildInspectorRelatedRecordDraft	KEEP named boundary	Related-record form seeds and pure inspector workflow state transitions	workbook/features/coordination/contextualCreateModel.ts; workbook/inspector/useInspectorCreateRelatedWorkflow.ts	workbook/inspector/inspectorRelatedRecordModel.test.ts
workbook/inspector/prepareWorkbookInspectorChange.ts	prepareWorkbookInspectorChange	KEEP named boundary	Patch capability and scalar/action serialization; creation remains separately admitted	workbook/features/entities/useEntityWorkbookInspectorComposition.tsx; workbook/features/generic/useGenericWorkbookInspectorComposition.tsx	workbook/components/WorkbookReferenceControl.test.tsx; workbook/inspector/WorkbookInspectorDraftStore.test.ts
workbook/inspector/presentation/WorkbookHistoryPresentation.tsx	WorkbookHistoryList	KEEP named boundary	Shared History list and event rendering from presentation models	workbook/inspector/WorkbookRecordHistoryPresentation.tsx	workbook/inspector/presentation/WorkbookInspectorPresentation.test.tsx
workbook/inspector/presentation/WorkbookHistoryPresentation.tsx	WorkbookHistoryEvent	KEEP named boundary	Shared History list and event rendering from presentation models	workbook/inspector/WorkbookRecordHistoryPresentation.tsx	workbook/inspector/presentation/WorkbookInspectorPresentation.test.tsx
workbook/inspector/presentation/WorkbookInspectorActions.tsx	WorkbookInspectorActionGroup	KEEP named boundary	Inspector action groups, contextual actions, and accessible action buttons	workbook/inspector/WorkbookInspectorContextualActions.tsx	none
workbook/inspector/presentation/WorkbookInspectorActions.tsx	WorkbookInspectorContextualAction	KEEP named boundary	Inspector action groups, contextual actions, and accessible action buttons	workbook/inspector/WorkbookInspectorContextualActions.tsx	workbook/inspector/presentation/WorkbookInspectorPresentation.test.tsx
