Start Time,End Time,Source IP,Destination IP,Source Port,Destination Port,Protocol,Bytes,Packets,Input Interface,Output Interface
2026-07-10T12:23:00Z,2026-07-10T12:23:05Z,2001:db8::10,2001:db8::20,466,51538,6,3500,35,,
2026-07-10T12:24:00Z,2026-07-10T12:24:05Z,192.0.2.10,192.0.2.20,467,51539,6,3600,36,Gi0/1,Gi0/2
2026-07-10T12:25:00Z,2026-07-10T12:25:05Z,2001:db8::10,2001:db8::20,468,51540,6,3700,37,,
2026-07-10T12:26:00Z,2026-07-10T12:26:05Z,192.0.2.10,192.0.2.20,469,51541,6,3800,38,Gi0/1,Gi0/2
2026-07-10T12:27:00Z,2026-07-10T12:27:05Z,2001:db8::10,2001:db8::20,470,51542,6,3900,39,,
2026-07-10T12:28:00Z,2026-07-10T12:28:05Z,192.0.2.10,192.0.2.20,471,51543,6,4000,40,Gi0/1,Gi0/2
2026-07-10T12:29:00Z,2026-07-10T12:29:05Z,2001:db8::10,2001:db8::20,472,51544,6,4100,41,,
2026-07-10T12:30:00Z,2026-07-10T12:30:05Z,192.0.2.10,192.0.2.20,473,51545,6,4200,42,Gi0/1,Gi0/2
2026-07-10T12:31:00Z,2026-07-10T12:31:05Z,2001:db8::10,2001:db8::20,474,51546,6,4300,43,,
2026-07-10T12:32:00Z,2026-07-10T12:32:05Z,192.0.2.10,192.0.2.20,475,51547,6,4400,44,Gi0/1,Gi0/2
2026-07-10T12:33:00Z,2026-07-10T12:33:05Z,2001:db8::10,2001:db8::20,476,51548,6,4500,45,,
2026-07-10T12:34:00Z,2026-07-10T12:34:05Z,192.0.2.10,192.0.2.20,477,51549,6,4600,46,Gi0/1,Gi0/2
2026-07-10T12:35:00Z,2026-07-10T12:35:05Z,2001:db8::10,2001:db8::20,478,51550,6,4700,47,,
2026-07-10T12:36:00Z,2026-07-10T12:36:05Z,192.0.2.10,192.0.2.20,479,51551,6,4800,48,Gi0/1,Gi0/2
2026-07-10T12:37:00Z,2026-07-10T12:37:05Z,2001:db8::10,2001:db8::20,480,51552,6,4900,49,,
2026-07-10T12:38:00Z,2026-07-10T12:38:05Z,192.0.2.10,192.0.2.20,481,51553,6,5000,50,Gi0/1,Gi0/2
2026-07-10T12:39:00Z,2026-07-10T12:39:05Z,2001:db8::10,2001:db8::20,482,51554,6,5100,51,,
2026-07-10T12:40:00Z,2026-07-10T12:40:05Z,192.0.2.10,192.0.2.20,483,51555,6,5200,52,Gi0/1,Gi0/2
2026-07-10T12:41:00Z,2026-07-10T12:41:05Z,2001:db8::10,2001:db8::20,484,51556,6,5300,53,,
2026-07-10T12:42:00Z,2026-07-10T12:42:05Z,192.0.2.10,192.0.2.20,485,51557,6,5400,54,Gi0/1,Gi0/2
2026-07-10T12:43:00Z,2026-07-10T12:43:05Z,2001:db8::10,2001:db8::20,486,51558,6,5500,55,,
2026-07-10T12:44:00Z,2026-07-10T12:44:05Z,192.0.2.10,192.0.2.20,487,51559,6,5600,56,Gi0/1,Gi0/2
2026-07-10T12:45:00Z,2026-07-10T12:45:05Z,2001:db8::10,2001:db8::20,488,51560,6,5700,57,,
2026-07-10T12:46:00Z,2026-07-10T12:46:05Z,192.0.2.10,192.0.2.20,489,51561,6,5800,58,Gi0/1,Gi0/2
2026-07-10T12:47:00Z,2026-07-10T12:47:05Z,2001:db8::10,2001:db8::20,490,51562,6,5900,59,,
2026-07-10T12:48:00Z,2026-07-10T12:48:05Z,192.0.2.10,192.0.2.20,491,51563,6,6000,60,Gi0/1,Gi0/2
2026-07-10T12:49:00Z,2026-07-10T12:49:05Z,2001:db8::10,2001:db8::20,492,51564,6,6100,61,,
2026-07-10T12:50:00Z,2026-07-10T12:50:05Z,192.0.2.10,192.0.2.20,493,51565,6,6200,62,Gi0/1,Gi0/2
2026-07-10T12:51:00Z,2026-07-10T12:51:05Z,2001:db8::10,2001:db8::20,494,51566,6,6300,63,,
2026-07-10T12:52:00Z,2026-07-10T12:52:05Z,192.0.2.10,192.0.2.20,495,51567,6,6400,64,Gi0/1,Gi0/2
2026-07-10T12:53:00Z,2026-07-10T12:53:05Z,2001:db8::10,2001:db8::20,496,51568,6,6500,65,,
2026-07-10T12:54:00Z,2026-07-10T12:54:05Z,192.0.2.10,192.0.2.20,497,51569,6,6600,66,Gi0/1,Gi0/2
2026-07-10T12:55:00Z,2026-07-10T12:55:05Z,2001:db8::10,2001:db8::20,498,51570,6,6700,67,,
2026-07-10T12:56:00Z,2026-07-10T12:56:05Z,192.0.2.10,192.0.2.20,499,51571,6,6800,68,Gi0/1,Gi0/2
2026-07-10T12:57:00Z,2026-07-10T12:57:05Z,2001:db8::10,2001:db8::20,500,51572,6,6900,69,,
2026-07-10T12:58:00Z,2026-07-10T12:58:05Z,192.0.2.10,192.0.2.20,501,51573,6,7000,70,Gi0/1,Gi0/2
2026-07-10T12:59:00Z,2026-07-10T12:59:05Z,2001:db8::10,2001:db8::20,502,51574,6,7100,71,,
2026-07-10T12:60:00Z,2026-07-10T12:60:05Z,192.0.2.10,192.0.2.20,503,51575,6,7200,72,Gi0/1,Gi0/2
2026-07-10T12:61:00Z,2026-07-10T12:61:05Z,2001:db8::10,2001:db8::20,504,51576,6,7300,73,,
2026-07-10T12:62:00Z,2026-07-10T12:62:05Z,192.0.2.10,192.0.2.20,505,51577,6,7400,74,Gi0/1,Gi0/2
2026-07-10T12:63:00Z,2026-07-10T12:63:05Z,2001:db8::10,2001:db8::20,506,51578,6,7500,75,,
