Start Time,End Time,Source IP,Destination IP,Source Port,Destination Port,Protocol,Bytes,Packets
2026-07-10T12:42:00Z,2026-07-10T12:42:05Z,192.0.2.10,192.0.2.20,443,51515,6,1042,1
2026-07-10T12:43:00Z,2026-07-10T12:43:05Z,192.0.2.10,192.0.2.20,443,51515,6,1043,1
2026-07-10T12:44:00Z,2026-07-10T12:44:05Z,192.0.2.10,192.0.2.20,443,51515,6,1044,1
2026-07-10T12:45:00Z,2026-07-10T12:45:05Z,192.0.2.10,192.0.2.20,443,51515,6,1045,1
2026-07-10T12:46:00Z,2026-07-10T12:46:05Z,192.0.2.10,192.0.2.20,443,51515,6,1046,1
2026-07-10T12:47:00Z,2026-07-10T12:47:05Z,192.0.2.10,192.0.2.20,443,51515,6,1047,1
2026-07-10T12:48:00Z,2026-07-10T12:48:05Z,192.0.2.10,192.0.2.20,443,51515,6,1048,1
2026-07-10T12:49:00Z,2026-07-10T12:49:05Z,192.0.2.10,192.0.2.20,443,51515,6,1049,1
2026-07-10T12:50:00Z,2026-07-10T12:50:05Z,192.0.2.10,192.0.2.20,443,51515,6,1050,1
2026-07-10T12:51:00Z,2026-07-10T12:51:05Z,192.0.2.10,192.0.2.20,443,51515,6,1051,1
2026-07-10T12:52:00Z,2026-07-10T12:52:05Z,999.0.2.10,192.0.2.20,443,51515,6,1052,1
2026-07-10T12:53:00Z,2026-07-10T12:53:05Z,192.0.2.10,192.0.2.20,443,51515,6,1053,1
